Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,0.985100,1.320034,0.935845,1.310183,1.062045,7362223
1999-12-02,1.359438,1.507203,1.162418,1.201822,0.974207,3458919
1999-12-03,1.241226,1.280630,1.044206,1.093461,0.886369,919890
1999-12-06,1.132865,1.132865,0.896441,1.008742,0.817695,1044889
1999-12-07,0.985100,0.985100,0.866888,0.866888,0.702707,487286
1999-12-08,0.866888,0.866888,0.807782,0.837335,0.678751,488009
1999-12-09,0.812707,1.004802,0.812707,0.985100,0.798530,442120
1999-12-10,1.004802,1.014653,0.866888,0.866888,0.702707,134368
1999-12-13,0.876739,0.925994,0.876739,0.896441,0.726662,64460
1999-12-14,0.896441,0.896441,0.855067,0.855067,0.693124,117297
1999-12-15,0.847186,0.965398,0.847186,0.965398,0.782560,108719
1999-12-16,0.955547,0.955547,0.916143,0.945696,0.766589,22413
1999-12-17,0.945696,0.945696,0.866888,0.866888,0.702707,49680
1999-12-20,0.866888,0.866888,0.837335,0.837335,0.678751,310882
1999-12-21,0.886590,0.886590,0.778229,0.788080,0.638824,233438
1999-12-22,0.793990,0.837335,0.793990,0.827484,0.670765,123175
1999-12-23,0.835365,0.857037,0.835365,0.847186,0.686736,111714
1999-12-24,0.880679,0.880679,0.847186,0.847186,0.686736,75744
1999-12-27,0.847186,0.847186,0.847186,0.847186,0.686736,0
1999-12-28,0.847186,0.847186,0.847186,0.847186,0.686736,0
1999-12-29,0.866888,0.886590,0.866888,0.866888,0.702707,37196
1999-12-30,0.871813,0.906292,0.857037,0.896441,0.726662,106391
1999-12-31,0.896441,0.896441,0.896441,0.896441,0.726662,0
2000-01-03,0.896441,0.896441,0.896441,0.896441,0.726662,0
2000-01-04,0.906292,0.925994,0.886590,0.886590,0.718677,111043
2000-01-05,0.866888,0.886590,0.837335,0.866888,0.702707,90237
2000-01-06,0.866888,0.866888,0.837335,0.837335,0.678751,106728
2000-01-07,0.837335,0.837335,0.768378,0.768378,0.622854,110800
2000-01-10,0.788080,0.797931,0.768378,0.788080,0.638824,118159
2000-01-11,0.807782,0.807782,0.778229,0.788080,0.638824,115013
2000-01-12,0.797931,0.797931,0.758527,0.788080,0.638824,102324
2000-01-13,0.758527,0.788080,0.758527,0.758527,0.614868,6598
2000-01-14,0.758527,0.758527,0.709272,0.738825,0.598898,106348
2000-01-17,0.738825,0.738825,0.689570,0.689570,0.558971,79430
2000-01-18,0.689570,0.788080,0.689570,0.768378,0.622854,201750
2000-01-19,0.768378,0.788080,0.738825,0.738825,0.598898,111674
2000-01-20,0.738825,0.778229,0.728974,0.768378,0.622854,13501
2000-01-21,0.759985,0.759985,0.739977,0.739977,0.599832,0
2000-01-24,0.728974,0.728974,0.679719,0.699421,0.566956,136556
2000-01-25,0.699421,0.719123,0.689570,0.689570,0.558971,144147
2000-01-26,null,null,null,null,null,null
2000-01-27,0.689570,0.689570,0.660017,0.679719,0.550986,31976
2000-01-28,0.689570,0.728974,0.689570,0.699421,0.566956,281190
2000-01-31,0.699421,0.699421,0.669868,0.699421,0.566956,90058
2000-02-01,0.699421,0.709272,0.679719,0.679719,0.550986,71160
2000-02-02,0.679719,0.689570,0.679719,0.679719,0.550986,78570
2000-02-03,0.698436,0.778229,0.698436,0.748676,0.606883,150577
2000-02-04,0.769363,0.778229,0.748676,0.778229,0.630839,237451
2000-02-07,0.778229,0.847186,0.778229,0.847186,0.686736,155442
2000-02-08,0.847186,0.847186,0.689570,0.827484,0.670765,222647
2000-02-09,0.797931,0.797931,0.788080,0.797931,0.646809,34209
2000-02-10,0.778229,0.788080,0.778229,0.788080,0.638824,58369
2000-02-11,0.788080,0.788080,0.768378,0.768378,0.622854,39640
