Date,Open,High,Low,Close,Adj Close,Volume
2005-04-19,2.150000,2.340000,2.130000,2.300000,1.564486,29358714
2005-04-20,2.360000,2.430000,2.320000,2.400000,1.632508,5848951
2005-04-21,2.350000,2.390000,2.340000,2.370000,1.612101,1889149
2005-04-22,2.400000,2.410000,2.380000,2.400000,1.632508,7256478
2005-04-26,2.400000,2.430000,2.380000,2.410000,1.639310,2426207
2005-04-27,2.400000,2.430000,2.380000,2.400000,1.632508,1295736
2005-04-28,2.400000,2.410000,2.390000,2.400000,1.632508,2005128
2005-04-29,2.390000,2.390000,2.320000,2.350000,1.598497,1008077
2005-05-02,2.370000,2.370000,2.330000,2.350000,1.598497,737861
2005-05-03,2.320000,2.350000,2.300000,2.320000,1.578091,1550785
2005-05-04,2.300000,2.310000,2.260000,2.260000,1.537278,2086977
2005-05-05,2.270000,2.270000,2.170000,2.200000,1.496466,6490503
2005-05-06,2.200000,2.250000,2.200000,2.220000,1.510070,778354
2005-05-09,2.210000,2.230000,2.200000,2.220000,1.510070,1193945
2005-05-10,2.240000,2.270000,2.220000,2.230000,1.516872,70103
2005-05-11,2.220000,2.280000,2.220000,2.270000,1.544080,237510
2005-05-12,2.260000,2.280000,2.220000,2.270000,1.544080,53144
2005-05-13,2.270000,2.340000,2.270000,2.310000,1.571289,291497
2005-05-16,2.310000,2.330000,2.300000,2.310000,1.571289,447085
2005-05-17,2.320000,2.350000,2.320000,2.330000,1.584893,96146
2005-05-18,2.320000,2.330000,2.300000,2.320000,1.578091,236068
2005-05-19,2.320000,2.370000,2.320000,2.350000,1.598497,235235
2005-05-20,2.350000,2.350000,2.250000,2.250000,1.530476,82301
2005-05-23,2.300000,2.330000,2.260000,2.310000,1.571289,911983
2005-05-24,2.310000,2.370000,2.310000,2.350000,1.598497,124824
2005-05-25,2.350000,2.400000,2.330000,2.400000,1.632508,243895
2005-05-26,2.400000,2.410000,2.380000,2.400000,1.632508,1045551
2005-05-27,2.400000,2.400000,2.370000,2.370000,1.612101,34944
2005-05-30,2.370000,2.370000,2.310000,2.350000,1.598497,674985
2005-05-31,2.340000,2.400000,2.320000,2.400000,1.632508,336600
2005-06-01,2.380000,2.380000,2.320000,2.350000,1.598497,954435
2005-06-02,2.350000,2.400000,2.340000,2.400000,1.632508,561346
2005-06-03,2.390000,2.390000,2.350000,2.360000,1.605300,112809
2005-06-06,2.370000,2.410000,2.370000,2.410000,1.639310,1322892
2005-06-07,2.410000,2.490000,2.400000,2.460000,1.673320,887749
2005-06-08,2.450000,2.470000,2.420000,2.430000,1.652914,332159
2005-06-09,2.460000,2.490000,2.440000,2.480000,1.686925,320732
2005-06-10,2.470000,2.490000,2.460000,2.490000,1.693727,65627
2005-06-14,2.480000,2.490000,2.400000,2.410000,1.639310,243446
2005-06-15,2.410000,2.450000,2.370000,2.400000,1.632508,285027
2005-06-16,2.400000,2.410000,2.350000,2.400000,1.632508,1510976
2005-06-17,2.400000,2.410000,2.370000,2.400000,1.632508,486270
2005-06-20,2.400000,2.400000,2.350000,2.350000,1.598497,101221
2005-06-21,2.350000,2.390000,2.350000,2.350000,1.598497,544785
2005-06-22,2.380000,2.380000,2.350000,2.350000,1.598497,6200
2005-06-23,2.350000,2.400000,2.310000,2.400000,1.632508,63489
2005-06-24,2.380000,2.380000,2.350000,2.350000,1.598497,52399
2005-06-27,2.340000,2.350000,2.340000,2.340000,1.591696,28430
2005-06-28,2.340000,2.340000,2.310000,2.340000,1.591696,818774
2005-06-29,2.330000,2.370000,2.310000,2.310000,1.571289,385636
2005-06-30,2.290000,2.380000,2.270000,2.380000,1.618904,1724863
2005-07-01,2.310000,2.330000,2.300000,2.300000,1.564486,575900
2005-07-04,2.350000,2.350000,2.300000,2.310000,1.571289,1660552
2005-07-05,2.320000,2.330000,2.320000,2.320000,1.578091,772947
2005-07-06,2.300000,2.320000,2.300000,2.300000,1.564486,209181
2005-07-07,2.320000,2.330000,2.300000,2.300000,1.564486,106816
2005-07-08,2.320000,2.330000,2.320000,2.330000,1.584893,165151
2005-07-11,2.300000,2.320000,2.280000,2.320000,1.578091,35306
2005-07-12,2.350000,2.360000,2.350000,2.360000,1.605300,119661
2005-07-13,2.360000,2.390000,2.350000,2.390000,1.625706,118144
2005-07-14,2.330000,2.350000,2.330000,2.330000,1.584893,219880
2005-07-15,2.350000,2.380000,2.350000,2.380000,1.618904,12780
2005-07-18,2.390000,2.440000,2.390000,2.400000,1.632508,184588
2005-07-19,2.400000,2.440000,2.400000,2.420000,1.646112,72838
2005-07-20,2.450000,2.480000,2.430000,2.430000,1.652914,327038
2005-07-21,2.420000,2.480000,2.420000,2.450000,1.666518,113982
2005-07-22,2.430000,2.450000,2.420000,2.450000,1.666518,36960
2005-07-25,2.420000,2.470000,2.400000,2.450000,1.666518,44642
2005-07-26,2.420000,2.480000,2.420000,2.470000,1.680123,410956
2005-07-27,2.480000,2.480000,2.450000,2.480000,1.686925,262173
2005-07-28,2.470000,2.500000,2.460000,2.490000,1.693727,3365800
2005-07-29,2.490000,2.560000,2.490000,2.520000,1.714134,186228
2005-08-01,2.520000,2.620000,2.520000,2.580000,1.754946,156799
2005-08-02,2.590000,2.600000,2.580000,2.590000,1.761748,4993157
2005-08-03,2.600000,2.620000,2.560000,2.560000,1.741342,253300
2005-08-04,2.580000,2.580000,2.520000,2.550000,1.734540,56180
2005-08-05,2.550000,2.550000,2.470000,2.480000,1.686925,29134470
2005-08-08,2.480000,2.480000,2.460000,2.460000,1.673320,226783
2005-08-09,2.460000,2.460000,2.410000,2.410000,1.639310,101456
2005-08-10,2.430000,2.460000,2.430000,2.450000,1.666518,66663
2005-08-11,2.450000,2.540000,2.440000,2.540000,1.727737,254619
2005-08-12,2.540000,2.570000,2.540000,2.540000,1.727737,259594
2005-08-15,2.510000,2.540000,2.470000,2.470000,1.680123,39500
2005-08-16,2.470000,2.540000,2.470000,2.540000,1.727737,63856
2005-08-17,2.500000,2.540000,2.500000,2.500000,1.700529,47232
2005-08-18,2.500000,2.500000,2.500000,2.500000,1.700529,368762
2005-08-19,2.500000,2.500000,2.500000,2.500000,1.700529,155248
2005-08-22,2.600000,2.640000,2.530000,2.550000,1.734540,370929
2005-08-23,2.560000,2.600000,2.550000,2.570000,1.748144,594347
2005-08-24,2.570000,2.580000,2.430000,2.570000,1.748144,707885
2005-08-25,2.580000,2.580000,2.550000,2.580000,1.754946,704431
2005-08-26,2.580000,2.580000,2.540000,2.550000,1.734540,92864
2005-08-29,2.540000,2.560000,2.500000,2.550000,1.734540,133861
2005-08-30,2.560000,2.580000,2.500000,2.580000,1.754946,82462
2005-08-31,2.580000,2.630000,2.580000,2.610000,1.775352,363208
2005-09-01,2.610000,2.750000,2.580000,2.700000,1.836572,618979
2005-09-02,2.740000,2.740000,2.700000,2.710000,1.843374,831018
2005-09-05,2.700000,2.760000,2.700000,2.750000,1.870582,683197
2005-09-06,2.760000,2.820000,2.760000,2.800000,1.904593,531333
2005-09-07,2.800000,2.830000,2.800000,2.830000,1.924999,382635
