Ticker,Name,Exchange
14D,1414 Degrees Ltd,ASX
1ST,1ST Group Ltd,ASX
3PL,3P Learning Ltd,ASX
4DS,4DS Memory Ltd,ASX
5GN,5G Networks Ltd,ASX
88E,88 Energy Ltd,ASX
8CO,8COMMON Ltd,ASX
8IH,8I Holdings Ltd,ASX
8EC,8IP Emerging Companies Ltd,ASX
8VI,8VIC Holdings Ltd,ASX
9SP,9 Spokes International Ltd,ASX
ACB,A-Cap Energy Ltd,ASX
A2B,A2B Australia Ltd,ASX
ABP,Abacus Property Group,ASX
ABL,Abilene Oil and Gas Ltd,ASX
AEG,Absolute Equity Performance Fund Ltd,ASX
ABT,Abundant Produce Ltd,ASX
ACS,Accent Resources NL,ASX
ACQ,Acorn Capital Investment Fund Ltd,ASX
ACF,Acrow Formwork and Construction Services Ltd,ASX
ACR,ACRUX Ltd,ASX
ACW,Actinogen Medical Ltd,ASX
ACU,Acumentis Group Ltd,ASX
AD1,AD1 Holdings Ltd,ASX
ADA,Adacel Technologies Ltd,ASX
ADH,Adairs Ltd,ASX
1AD,Adalta Ltd,ASX
ADD,Adavale Resources Ltd,ASX
ABC,Adelaide Brighton Ltd,ASX
ADR,Adherium Ltd,ASX
AHZ,Admedus Ltd,ASX
ADY,Admiralty Resources NL,ASX
ADT,Adriatic Metals Plc,ASX
ADJ,Adslot Ltd,ASX
ABV,Advanced Braking Technology Ltd,ASX
ADX,ADX Energy Ltd,ASX
AER,Aeeris Ltd,ASX
AEI,Aeris Environmental Ltd,ASX
AFL,Af Legal Group Ltd,ASX
AEB,Affinity Energy and Health Ltd,ASX
AFR,African Energy Resources Ltd,ASX
A1G,African Gold Ltd,ASX
AFT,AFT Corporation Ltd,ASX
AFP,Aft Pharmaceuticals Ltd,ASX
AGL,AGL Energy Ltd,ASX
AGJ,Agricultural Land Trust,ASX
AGR,Aguia Resources Ltd,ASX
AHL,Ahalife Holdings Ltd,ASX
A1M,Aic Mines Ltd,ASX
AGI,Ainsworth Game Technology Ltd,ASX
A40,Alita Resources Ltd,ASX
AHQ,Allegiance Coal Ltd,ASX
AGS,Alliance Resources Ltd,ASX
AGE,Alligator Energy Ltd,ASX
A4N,Alpha Hpa Ltd,ASX
1AG,Alterra Ltd,ASX
AGH,Althea Group Holdings Ltd,ASX
3DA,Amaero International Ltd,ASX
ABR,American Pacific Borates Ltd,ASX
ADN,Andromeda Metals Ltd,ASX
AAR,Anglo Australian Resources NL,ASX
AGG,Anglogold Ashanti Ltd,ASX
ADO,Anteotech Ltd,ASX
AGX1,Antipodes Global Shares (Quoted Managed Fund),ASX
AHX,Apiam Animal Health Ltd,ASX
ADI,Apn Industria REIT,ASX
ADV,Ardiden Ltd,ASX
AGY,Argosy Minerals Ltd,ASX
AHK,Ark Mines Ltd,ASX
AAJ,Aruma Resources Ltd,ASX
AHY,Asaleo Care Ltd,ASX
AFA,Asf Group Ltd,ASX
AHN,Athena Resources Ltd,ASX
AIA,Auckland International Airport Ltd,ASX
ACP,Audalia Resources Ltd,ASX
AD8,Audinate Group Ltd,ASX
AEE,Aura Energy Ltd,ASX
ABW,Aurora Absolute Return Fund,ASX
A3D,Aurora Labs Ltd,ASX
AC8,Auscann Group Holdings Ltd,ASX
AGD,Austral Gold Ltd,ASX
AAC,Australian Agricultural Company Ltd,ASX
AAP,Australian Agricultural Projects Ltd,ASX
ABX,Australian Bauxite Ltd,ASX
AHF,Australian Dairy Nutritionals Group,ASX
AEF,Australian Ethical Investment Ltd,ASX
AFG,Australian Finance Group Ltd,ASX
AFI,Australian Foundation Investment Company Ltd,ASX
AGM,Australian Governance & Ethical INDEX Fund,ASX
ABA,Auswide Bank Ltd,ASX
AEV,Avenira Ltd,ASX
A200,Betashares Australia 200 ETF,ASX
AGVT,Betashares Australian Government Bond ETF,ASX
AAA,Betashares Australian High Interest Cash ETF,ASX
ACDC,ETFs Battery Tech & Lithium ETF,ASX
4CE,Force Commodities Ltd,ASX
360,LIFE360 Inc,ASX
1AL,Oneall International Ltd,ASX
3DP,Pointerra Ltd,ASX
A2M,The a2 Milk Company Ltd,ASX
2BE,Tubi Ltd,ASX
AIB,Aurora Global Income Trust,ASX
AIQ,Alternative Investment Trust,ASX
AIR,Astivita Ltd,ASX
AIS,Aeris Resources Ltd,ASX
AIV,Activex Ltd,ASX
AIY,Authorised Investment Fund Ltd,ASX
AIZ,Air New Zealand Ltd,ASX
AJC,Acacia Coal Ltd,ASX
AJJ,Asian American Medical Group Ltd,ASX
AJL,AJ Lucas Group Ltd,ASX
AJM,Altura Mining Ltd,ASX
AJQ,Armour Energy Ltd,ASX
AJX,Alexium International Group Ltd,ASX
AJY,Asaplus Resources Ltd,ASX
AKG,Academies Australasia Group Ltd,ASX
AKM,Aspire Mining Ltd,ASX
AKN,Auking Mining Ltd,ASX
AKP,Audio Pixels Holdings Ltd,ASX
AL3,AML3D Ltd,ASX
AL8,Alderan Resources Ltd,ASX
ALC,Alcidion Group Ltd,ASX
ALF,Australian Leaders Fund Ltd,ASX
ALG,Ardent Leisure Group Ltd,ASX
ALI,Argo Global Listed Infrastructure Ltd,ASX
ALK,Alkane Resources Ltd,ASX
ALL,Aristocrat Leisure Ltd,ASX
ALQ,Als Ltd,ASX
ALT,Analytica Ltd,ASX
ALU,Altium Ltd,ASX
ALX,Atlas Arteria,ASX
ALY,Alchemy Resources Ltd,ASX
AMA,AMA Group Ltd,ASX
AMB,Ambition Group Ltd,ASX
AMC,Amcor Plc,ASX
AMD,Arrow Minerals Ltd,ASX
AME,Alto Metals Ltd,ASX
AMG,Ausmex Mining Group Ltd,ASX
AMH,Amcil Ltd,ASX
AMI,Aurelia Metals Ltd,ASX
AML,Aeon Metals Ltd,ASX
AMN,Agrimin Ltd,ASX
AMO,Ambertech Ltd,ASX
AMP,AMP Ltd,ASX
AMS,Atomos Ltd,ASX
AMT,Allegra Orthopaedics Ltd,ASX
AMX,Aerometrex Ltd,ASX
ANA,Ansila Energy NL,ASX
ANG,Austin Engineering Ltd,ASX
ANL,Amani Gold Ltd,ASX
ANN,Ansell Ltd,ASX
ANO,Advance Nanotek Ltd,ASX
ANP,Antisense Therapeutics Ltd,ASX
ANR,Anatara Lifesciences Ltd,ASX
ANS,Austsino Resources Group Ltd,ASX
ANW,Aus Tin Mining Ltd,ASX
ANZ,Australia and New Zealand Banking Group Ltd,ASX
AO1,Assetowl Ltd,ASX
AOA,Ausmon Resources Ltd,ASX
AOF,Australian Unity Office Fund,ASX
AON,Apollo Minerals Ltd,ASX
AOP,Apollo Consolidated Ltd,ASX
AOU,Auroch Minerals Ltd,ASX
AOW,American Patriot Oil & Gas Ltd,ASX
APA,APA Group,ASX
APC,Australian Potash Ltd,ASX
APD,Apn Property Group,ASX
APE,AP Eagers Ltd,ASX
APG,Austpac Resources NL,ASX
APH,Australian Primary Hemp Ltd,ASX
API,Australian Pharmaceutical Industries Ltd,ASX
APL,Antipodes Global Investment Company Ltd,ASX
APT,Afterpay Ltd,ASX
APV,Appsvillage Australia Ltd,ASX
